iter	Passed	Remaining
0	24	1192
1	44	1073
2	64	1002
3	85	978
4	106	962
5	127	935
6	149	919
7	172	904
8	192	878
9	213	855
10	234	830
11	257	814
12	279	795
13	298	768
14	320	748
15	341	726
16	362	703
17	383	681
18	411	671
19	443	664
20	467	645
21	492	626
22	514	603
23	537	582
24	558	558
25	579	534
26	607	517
27	629	494
28	648	469
29	669	446
30	690	423
31	712	400
32	731	376
33	767	361
34	788	338
35	809	314
36	833	292
37	856	270
38	875	246
39	895	223
40	919	201
41	939	178
42	959	156
43	981	133
44	1003	111
45	1025	89
46	1055	67
47	1078	44
48	1100	22
49	1121	0
